name,lat,lng,rating,review_count,operating_hours,description,price,town,tags,pre_order,google_maps_url
Fung Yi Delights Hokkien Mee Orh Luak,1.3540850383654282, 103.93812295118526,4.4,104,"11am - 8.30pm, closed on Thu","Hidden gem that serves up solid plate of Hokkien Mee with 3 types of noodles - yellow noodles, thick and thin vermicelli. Nice texture and significant amount of seafood. Paired with chin cha lok chilli sauce.",5.00,"Tampines","wet;sambal;lard","Order via phone @ 84328333",https://maps.app.goo.gl/LmEr8M9XmeiwSpTA8
Uncle Peter Hokkien Mee,1.3004981582021564, 103.86654015119095,4.0,219,"10am - 7.30pm","Uncle Peter's version has a semi-dry texture, allowing the noodles to soak up the flavours of the prawn stock.",5.50,"Redhill","wet;sambal;wok hei;lard","Order via Grabfood or phone @ 86164953",https://maps.app.goo.gl/e8QuEmfGZMHbkN4n7
Hoe Hokkien Mee,1.3166128688544954, 103.88037547871113,4.4,229,"8am - 4.30pm, closed on Sun","Aromatic Fried noodles simmered in thick prawn broth and cooked with Love by Chef Ah Hoe.",5.50,"Lavender","wet;sambal;lard","Order via phone @ 90991178",https://g.co/kgs/zrMWAAD
Singapore Fried Hokkien Mee,1.3240722361099793, 103.85647998008697,3.7,438,"3.30pm - 11.30pm, closed on Thu","Popular Whampoa Stall With Michelin Bib Gourmand. The inspectors described it as their famous Hokkien mee is made with rice vermicelli and yellow egg noodles, which are topped with prawns and squid for that umami flavour – even better with a helping of spicy homemade chilli sauce.",5.00,"Whampoa","wet;sambal;lard"," ",https://maps.app.goo.gl/GhwUkaXdzcfavNC1A
Hokkien Man Hokkien Mee,1.3362389107065067, 103.85935312845928,3.8,358,"11am - 3pm","Helmed by a former Les Amis chef,this stall specialises in Hokkien fried noodles in a garlicky broth made with prawn heads. Besides the typical toppings of prawns and squid, you may order others, like egg or abalone, at an additional cost.",6.50,"Toa Payoh","wet;sambal","Order via Whatsapp @ 8798 1525",https://maps.app.goo.gl/11i5wx7ioCeDE22p7
Mian Wang 1971,1.3620202129028591, 103.74871306913647,4.4,256,"10.45am - 3pm, closed on Mon","Serving Hokkien mee with a twist if you want a change - Hokkien mee with deep-fried calamari rings in salted egg batter. When paired with salted egg calamari rings, the savoury Hokkien mee is cooked with lesser salt and is thus less salty — very thoughtful.",4.50,"Bukit Batok","wet;sambal;wok hei;lard","Order via phone @ 97975077",https://maps.app.goo.gl/EfQdLan5PsSTvcYw5
Born Hokkien Prawn Mee,1.3748180185416123, 103.79139941878574,4.6,125,"10.30am - 8.30pm","New strong player in the West, each serving includes three prawns, squid, pork belly, and delightful fried pork lard cubes that add an extra burst of flavor and texture.",6.00,"Bukit Batok","wet;sambal;wok hei;lard","Order via phone @ 87429100",https://g.co/kgs/ag5tr6w
Shiok Hokkien Mee Beauty World,1.3583432139852045, 103.79757922847297,4.6,252,"10.30am - 8.30pm","Shiok Hokkien Mee's stall in Beauty World Centre is the only outlet on the west side of Singapore. A wet version packed with the prawny crustacean flavours.",6.00,"Beauty World","wet;sambal;wok hei;lard"," ",https://maps.app.goo.gl/qFyPtSye9oYXzBwg8
Shiok Hokkien Mee Bedok,1.3470616444762529, 103.96340714493216,4.6,511,"10.30am - 8.30pm","Strong wok hei and strong umami taste with great portions for its price. Convenient location near Bedok Central!",6.00,"Bedok","wet;sambal;wok hei;lard"," ",https://g.co/kgs/fYMuXYN
Goldenmile YouFu Hokkien Mee (Since 2020),1.4659429975551574, 103.82967261732817,4.2,239,"9.30am - 9pm","Good hokkien prawn mee, probably the best in Woodlands now. Thin vermicelli version with very gao prawn flavor and good wok hei.",6.00,"Woodlands","wet;sambal;wok hei;lard"," ",https://maps.app.goo.gl/Z3fh51UhZjcvGJ1M6
Chuan Fried Hokkien Prawn Mee,1.3393831944746049, 103.92161299482574,4.3,272,"11am - 7.30pm","Located at the two storey sleepy hawker and market, Chuan Fried Hokkien Prawn Mee is well known among local food aficionados for its dish.",6.00,"Macpherson","dry;sambal;wok hei;lard"," ",https://maps.app.goo.gl/DxauuZQ9yEqrSN3j8
Xiao Di Fried Prawn Noodle,1.3711226943890924, 103.87417560747454,3.6,623,"10.30am - 3pm, closed on Sun","Tucked away in the sleepy neighbourhood of Serangoon North. Sumptuously gooey with rich stock gravy, topped with slices of cuttlefish, fresh prawns from Thailand. Mixed reviews.",5.00,"Serangoon","wet;sambal;lard",https://maps.app.goo.gl/eC8Nyxmhh6sUFgAz8
Eng Ho Fried Hokkien Mee,1.3631416804189709, 103.85858338983945,4.0,266,"4pm - 10.30pm","Delicious Hokkien Mee worth the calories! Thin vermicelli version.",5.00,"Ang Mo Kio","wet;sambal",https://maps.app.goo.gl/8znCFSuxdHYLh32x8
Ah Jie Hokkien Mee,1.3731269029643194, 103.8515479046702,4.5,314,"11am - 8.30pm","Relatively new stall run by two Gen Z guys. The noodles are expertly fried, and doesn’t have that “kee” smell, and are nicely charred. The gravy is luscious, striking a balance between being too watery and too dry.",6.00,"Ang Mo Kio","wet;sambal;wok hei;lard"," ",https://maps.app.goo.gl/wTWt4wY621ADYmzv9
Ah Huat Hokkien Prawn Mee,1.4096200937227916, 103.90286428932508,4.0,195,"9am - 8pm","New in Punggol but has already been touted as the best within the neighbourhood.Thin vermicelli version",6.00,"Punggol","wet;sambal;lard","Order via foodpanda, deliveroo or https://ahhuathokkienprawnmee.oddle.me/en_SG/",https://maps.app.goo.gl/5MBVkad9Xj9qrHmNA
Blue Star Fried Hokkien Mee,1.3547154784858242, 103.89093544586169,4.2,166,"10.30am - 7pm","Lacks wok hei but it’s flavourful with umami. Broth is on the sweeter side and it’s thick.",5.00,"Hougang","wet;sambal;lard"," ",https://maps.app.goo.gl/Ny8dyBVJwJMdE7St6
Original Simon Road Hokkien Mee,1.3694700453578086, 103.91402112009206,3.7,484,"11am - 8pm, closed on Mon","OG stall with five outlets islandwide. Online reviews seem to be differing depending on the outlet.The noodles get its flavours from a combination of prawn heads and pork ribs, fried until very dry so that the noodles and bee hoon absorb the tasty stock.‘Free-flow’ crunchy pork lard is also provided.",5.00,"Hougang","dry;sambal;wok hei;lard","Order via foodpanda or phone @ 98202888",https://maps.app.goo.gl/dXKe61sRdM3Chh5E6
Yi Ji Fried Hokkien Prawn Mee,1.362623976517887, 103.88596506813451,3.5,118,"3pm - 1am","Tasty broth soak well into the noodles. No wok hei but appetising.",6.00,"Hougang","wet;sambal","Order via foodpanda or phone @ 88035242",https://maps.app.goo.gl/yjuGHocm96JP5U2d9
